outlet,group,estimated_country,domain_country,basis,broad,both,only_pair,only_pair_specific,specific_kenya
news.cn,Chinese,CH,CH,estimate_domain_agree,126,44,15,15,90
163.com,Chinese,CH,,estimate_only,71,63,2,0,15
wenxuecity.com,Chinese,CH,,estimate_only,49,39,2,0,3
chinadaily.com.cn,Chinese,CH,CH,estimate_domain_agree,43,38,4,4,19
people.com.cn,Chinese,CH,CH,estimate_domain_agree,42,41,3,0,15
china.org.cn,Chinese,CH,CH,estimate_domain_agree,32,10,4,4,25
dahe.cn,Chinese,CH,CH,estimate_domain_agree,28,28,1,0,12
qianlong.com,Chinese,CH,,estimate_only,22,22,2,0,10
shanghaisun.com,Chinese,CH,,estimate_only,22,22,8,8,17
yangtse.com,Chinese,CH,,estimate_only,22,22,0,0,10
qq.com,Chinese,CH,,estimate_only,20,20,0,0,9
ycwb.com,Chinese,CH,,estimate_only,19,19,0,0,7
sina.com.cn,Chinese,CH,CH,estimate_domain_agree,18,13,1,0,2
workercn.cn,Chinese,CH,CH,estimate_domain_agree,18,18,0,0,8
xinhuanet.com,Chinese,CH,,estimate_only,18,15,3,0,2
chinesepress.com,Chinese,CH,,estimate_only,16,14,0,0,3
dayoo.com,Chinese,CH,,estimate_only,16,16,0,0,6
itbear.com.cn,Chinese,CH,CH,estimate_domain_agree,16,6,3,0,0
voc.com.cn,Chinese,CH,CH,estimate_domain_agree,16,16,1,0,4
china.com.cn,Chinese,CH,CH,estimate_domain_agree,15,15,0,0,9
ifeng.com,Chinese,CH,,estimate_only,15,12,1,0,2
fjsen.com,Chinese,CH,,estimate_only,14,14,0,0,2
china.com,Chinese,CH,,estimate_only,13,9,1,1,3
gmw.cn,Chinese,CH,CH,estimate_domain_agree,13,13,1,1,6
shm.com.cn,Chinese,CH,CH,estimate_domain_agree,13,13,0,0,6
cyol.com,Chinese,CH,,estimate_only,12,12,0,0,7
jschina.com.cn,Chinese,CH,CH,estimate_domain_agree,12,12,0,0,7
kmzx.org,Chinese,CH,,estimate_only,12,11,1,0,1
people.cn,Chinese,CH,CH,estimate_domain_agree,12,12,5,5,7
peopledaily.com.cn,Chinese,CH,CH,estimate_domain_agree,12,9,2,0,1
cnwest.com,Chinese,CH,,estimate_only,11,11,0,0,7
globalvoices.org,Chinese,CH,,estimate_only,11,1,0,0,4
huxiu.com,Chinese,CH,,estimate_only,10,10,0,0,0
epochtimes.com,Chinese,CH,,estimate_only,8,6,0,0,0
hangzhou.com.cn,Chinese,CH,CH,estimate_domain_agree,8,7,0,0,1
hinews.cn,Chinese,CH,CH,estimate_domain_agree,8,8,0,0,4
sxdaily.com.cn,Chinese,CH,CH,estimate_domain_agree,8,8,0,0,2
chinanews.com.cn,Chinese,CH,CH,estimate_domain_agree,7,7,0,0,2
northnews.cn,Chinese,CH,CH,estimate_domain_agree,7,7,0,0,1
tmtpost.com,Chinese,CH,,estimate_only,7,7,0,0,1
universityworldnews.com,Chinese,CH,,estimate_only,7,1,0,0,2
cnfol.com,Chinese,CH,,estimate_only,6,3,0,0,2
cnr.cn,Chinese,CH,CH,estimate_domain_agree,6,5,0,0,4
southcn.com,Chinese,CH,,estimate_only,6,6,0,0,2
wenweipo.com,Chinese,CH,,estimate_only,6,4,0,0,0
81.cn,Chinese,CH,CH,estimate_domain_agree,5,5,0,0,2
eastmoney.com,Chinese,CH,,estimate_only,5,4,0,0,2
electroiq.com,Chinese,CH,,estimate_only,5,2,0,0,0
fruitnet.com,Chinese,CH,,estimate_only,5,0,0,0,1
nmgnews.com.cn,Chinese,CH,CH,estimate_domain_agree,5,5,1,0,1
qstheory.cn,Chinese,CH,CH,estimate_domain_agree,5,5,0,0,0
scmp.com,Chinese,CH,,estimate_only,5,1,0,0,0
stdaily.com,Chinese,CH,,estimate_only,5,5,0,0,0
21xc.com,Chinese,CH,,estimate_only,4,4,0,0,2
aboluowang.com,Chinese,CH,,estimate_only,4,3,0,0,0
archdaily.com,Chinese,CH,,estimate_only,4,1,0,0,3
chinaqw.com,Chinese,CH,,estimate_only,4,4,0,0,3
hellenicshippingnews.com,Chinese,CH,,estimate_only,4,2,0,0,1
jzrb.com,Chinese,CH,,estimate_only,4,4,1,0,1
singaporestar.com,Chinese,CH,,estimate_only,4,1,0,0,1
singtaousa.com,Chinese,CH,,estimate_only,4,3,0,0,0
sqrb.com.cn,Chinese,CH,CH,estimate_domain_agree,4,3,1,0,2
stcn.com,Chinese,CH,,estimate_only,4,4,0,0,3
xxrb.com.cn,Chinese,CH,CH,estimate_domain_agree,4,4,1,0,2
banyuetan.org,Chinese,CH,,estimate_only,3,3,0,0,0
bjnews.com.cn,Chinese,CH,CH,estimate_domain_agree,3,3,0,0,1
bjreview.com,Chinese,CH,,estimate_only,3,3,0,0,1
ce.cn,Chinese,CH,CH,estimate_domain_agree,3,2,0,0,2
donews.com,Chinese,CH,,estimate_only,3,3,0,0,0
farmer.com.cn,Chinese,CH,CH,estimate_domain_agree,3,3,0,0,1
fznews.com.cn,Chinese,CH,CH,estimate_domain_agree,3,3,0,0,1
globaltimes.cn,Chinese,CH,CH,estimate_domain_agree,3,2,1,1,2
hkwb.net,Chinese,CH,,estimate_only,3,3,0,0,1
iqilu.com,Chinese,CH,,estimate_only,3,3,0,0,1
ixbt.com,Chinese,CH,,estimate_only,3,0,0,0,1
legaldaily.com.cn,Chinese,CH,CH,estimate_domain_agree,3,3,0,0,2
oeeee.com,Chinese,CH,,estimate_only,3,3,0,0,0
pv-magazine.com,Chinese,CH,,estimate_only,3,0,0,0,1
renminbao.com,Chinese,CH,,estimate_only,3,2,0,0,0
